,ItemLabels,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016
EBONYI,Broken Rice (Ofada),330.94,331.30403400000006,331.66846843740007,332.03330375268126,332.39854038680926,332.76417878123476,333.13021937789415,333.49666261920987,333.863508948091,334.23075880793397,360,360.396
EBONYI,Chicken Feet,571.43,800,866.67,750,875,836.36,727.27,743.75,839.83541957265,887.673159240388,790,800
EBONYI,Chicken Wings,708.33,800,850,850,932.5,857.14,835.7175,832.54,1007.829529631807,971.55,995,1100
EBONYI,Evaporated tinned milk carnation 170g,121.66,121.79382600000001,121.92779920860002,122.0619197877295,122.19618789949601,122.33060370618547,122.4651673702623,122.5998790543696,125.725503744856,127.35793582379,127.49802955319618,127.63827738570471
EBONYI,"Evaporated tinned milk(peak), 170g",133.875,134.76190476190402,136.517857142857,137.708333333333,142.083333333333,141.25,142.083333333333,145.625,181.424689455432,167.06350099186102,168.958333333333,168.809523809524
EBONYI,Frozen chicken,975,1000,966.666666666666,1091.6666666666665,1275,1075,1100,1250,1090.287759126248,1307.16235781249,1250,1375
EBONYI,"Gari white,sold loose",114.58250000000001,147.57125,138.89,156.2662499999995,189.8129166666665,211.50625,175.9266666666665,209.1675,182.14385483112,182.6654232125,247.10625,244.21249999999998
EBONYI,"Gari yellow,sold loose",133.102499999999,149.3058333333325,164.3518749999995,171.2941666666665,207.175833333333,232.53833333333301,222.271071428571,237.26749999999998, ,204.9706539666665,259.95375,260.8806249999995
EBONYI,Mudfish (aro) fresh,657.23,657.9529530000001,658.6767012483001,659.4012456196733,660.126586989855,660.852726235544,661.5796642344031,662.307401865061,597.494248449862,778.78225253951,779.6389130173035,780.4965158216226
EBONYI,Mudfish : dried,1390.56,1392.089616,1393.6209145776002,1395.1538975836356,1396.6885668709779,1398.224924294536,1399.7629717112602,1401.3027109801428,1540.66930642709,1332.22125869068,1650,2500
EBONYI,Onion bulb,203.604375,226.437142857142,236.77625,244.049999999999,190.880833333333,199.905,201.455624999999,214.30541666666647,312.341968285292,321.8613938747785,342.111,202.315
EBONYI,Rice agric sold loose,210,220,255,230,265,320,315,370,329.031677623776,334.983689049936,365,365
EBONYI,Rice local sold loose,160,155.833333333333,193.333333333333,206.66666666666652,208.333333333333,275,291.428571428571,309.523809523809,261.308212096952,307.0695144675575,316.19047619047547,357.33333333333303
EBONYI,Rice Medium Grained,180,160,200,200,240,240.264,240.52829040000003,240.79287151944007,219.1839414158965,250.957430061222,251.23348323428937,251.5098400658471
EBONYI,"Rice,imported high quality sold loose",247.5,250,265,270,305,367.5,408.8891666666665,430,389.26113957999996,465.783595,455,533.75
EBONYI,Tomato,288.7283333333325,252.380952380952,191.118809523809,279.7,584.34071428571,675.79,701.7216666666665,370.691904761904,386.93464617080747,391.491633430829,382.417857142857,245.743809523809
EBONYI,Yam tuber,104.894,137.5,139.0149999999995,185.7,201.729333333333,180.5575,174.473333333333,145.4875,216.3351664779275,208.3121494587075,227.958333333333,260.1225
ENUGU,Agric eggs medium size,334.80769230769204,337.09677419354796,355.994694960212,372.4,357.75,367.5,364.14835164835154,371.405835543766,500.336763919577,504.393691874498,442.37179487179446,445.1923076923075
ENUGU,Agric eggs(medium size price of one),28.3066239316239,28.70798319327725,30.543956043956,30.75,41.2672413793103,31.8861607142857,32.2180451127819,32.265625,43.1303637845921,43.25668899973325,38.65259740259735,38.77941176470585
ENUGU,"Beans brown,sold loose",290.0795641025635,289.2826785714285,309.158031609195,313.018333333333,308.2639646464645,380.9855641025635,388.2092592592585,417.1896291208785,428.5599679766575,430.02188715016905,440.885416666666,460.2441142857135
ENUGU,Beans:white black eye. sold loose,269.79795218295203,264.8013201663195,294.16391402714896,285.0417499999995,279.5514677419355,359.3823308270675,359.751578947368,389.29323076923,392.46116304325597,423.972993235294,415.3725833333325,440.4014542483655
ENUGU,Beef Bone in,871.349722222222,858.5312499999995,811.3831818181816,840.060151515151,797.8358333333331,766.610314685314,901.690982142857,937.4123863636355,1041.331806707983,965.7466885561105,1010.43273076923,892.5357738095234
ENUGU,"Beef,boneless",1054.07844780219,1151.3471153846149,1081.78617753623,1140.92677777777,1164.3373529411751,1171.904052795025,1182.2916457680199,1214.8031043956,1302.94848431172,1383.60545622249,1337.76558571428,1264.2632211538448
ENUGU,Bread sliced 500g,214.294871794871,221.357466063348,234.11931818181802,231.0625,235,265.5048076923075,330.7142857142855,264.810924369747,330.37199203288696,305.471533168986,304.705882352941,301.5126050420165
ENUGU,Bread unsliced 500g,179.7180451127815,284.93927125506,189.3461538461535,204.61722488038248,189.444444444444,271.15384615384596,301.785714285714,246.33458646616498,249.22686080613101,245.797063492063,289.5085470085465,274.6794871794865
ENUGU,Broken Rice (Ofada),360,433.33,386.666666666666,380,385,400,466.664999999999,500,480.683547958686,492.2411,500,590
ENUGU,Chicken Feet,571.43,623.335,866.67,573.315719,625.3920055000001,500,727.27,714.29,862.8374637025405,860.772949318458,716.647157,700
ENUGU,Chicken Wings,716.1099999999994,796.968333333333,916.666666666666,875,930,808.709999999999,720.634,818.682,1028.28998407802,1056.09522547456,1000,950
ENUGU,Evaporated tinned milk carnation 170g,125,123.333333333333,130,125,130,130.429,125.41250000000001,130.429,120.1483895429775,126.594,130.8594157,130
ENUGU,"Evaporated tinned milk(peak), 170g",134.428571428571,133.608108108108,136.282051282051,137.36206896551698,135.910714285714,140.892857142857,139.20168067226848,138.17640692640651,151.323425293945,156.427510474975,146.9523809523805,146.4946236559135
ENUGU,Frozen chicken,1031.25,1122.22222222222,1185.71428571428,1037.5,1225,1187.5,1137.5,1300,1291.39715750343,1300.52375910101,1288.88888888888,1370
ENUGU,"Gari white,sold loose",127.7591428571425,131.884015444015,148.4212837837835,154.2806875,195.2876896551715,199.53519841269798,195.381547619047,205.181827731092,179.937316852176,207.8569962279215,211.7099007444165,219.74794117647
ENUGU,"Gari yellow,sold loose",157.30374434389051,156.38445512820448,178.319305555555,186.388338709677,223.070017241379,227.37464285714202,223.8193055555555,238.49351648351598, ,242.19877640692602,257.6287717121585,249.126018145161
ENUGU,Mudfish (aro) fresh,941.18,1000,954.66,944.285894,1003.3000000000001,957.810378,947.4020374502,1006.6108900000002,991.463455092149,983.786574444322,1009.9327059370003,994.075284493953
ENUGU,Mudfish : dried,1428.57,1477.775,1785.71,1833.35,1833.335,1673.995,1921.05499999999,1833.335,2289.3400245981948,1873.8700525,1834.18666666666,2166.67
ENUGU,Onion bulb,295.570186813186,171.060368663594,160.68902027027002,142.166847507331,136.2479467084635,176.45128968253948,158.3114520202015,164.5055288461535,223.465147132883,277.080943992387,309.307009925558,189.8339671814665
ENUGU,Rice agric sold loose,197.0075757575755,192.037037037037,231.3852813852805,248.0952380952375,270.925833333333,307.55566666666596,309.5,385.47619047619,267.920913867474,345.20355322481,351.256684491978,394.0384615384615
ENUGU,Rice local sold loose,155.817489878542,157.5441119691115,199.0436590436585,190.60303030302998,220.26819923371602,276.12781954887146,274.7751785714285,351.2355212355205,250.05652966547,315.8067073677985,298.7709157509155,332.7452941176465
ENUGU,Rice Medium Grained,143.75,157.222222222222,200,205,212,275,240,363.33333333333303,264.129834967463,328.3135634037885,280,305
ENUGU,"Rice,imported high quality sold loose",224.598214285714,227.2767857142855,289.59134615384596,293.7142857142855,323.076923076923,366.6859740259735,379.264069264069,446.19047619047547,398.6861537657145,454.9532983193275,452.71978021978,468.80324543610504
ENUGU,Tomato,235.92399766899752,218.51987878787799,195.92507722007701,258.398636363636,956.5294372294366,894.021595238095,608.992379032258,234.105023041474,295.1056228479005,291.995244497449,225.733142857142,208.04040322580602
ENUGU,Yam tuber,105.20340225563905,123.631324561403,129.0928088803085,146.324895833333,153.721666666666,187.0596031746025,180.1710227272725,164.718683035714,235.2459883268645,180.16301263480602,205.93561507936448,170.253865546218
IMO,Agric eggs medium size,330.915948275862,328.5863095238095,350.130718954248,339.23645320197,357.63888888888846,372.8125,391.363636363636,403.147058823529,503.938943050349,510.937895455714,481.1,494.333333333333
IMO,Agric eggs(medium size price of one),29.6875,29.5,31.55952380952375,30.8563218390804,31.65454545454545,34.02777777777775,35.98484848484845,37.19791666666665,40.6224354816404,40.3245036995376,39.6130952380952,39.6666666666666
IMO,"Beans brown,sold loose",271.46128735632146,261.82051411290297,281.680578093306,267.42023809523755,262.923571428571,341.3185,318.073636363636,420.47666666666646,388.61951041076645,402.22768047619,394.282126436781,412.77649769585196
IMO,Beans:white black eye. sold loose,243.033002028397,236.1194999999995,262.4618235294115,244.3516666666665,275.36303030303,314.1123949579825,298.350649350649,331.73625000000004,305.297455988579,303.153946483858,386.17341191066953,392.0430107526875
IMO,Beef Bone in,819.957159090909,934.5108971291866,794.933444816053,834.9411355311349,874.0516666666665,850.6370833333331,898.135357142857,905.2429545454545,1021.6867604724,1094.6228138809065,976.8879166666665,899.842933333333
IMO,"Beef,boneless",1000.851610576923,1146.8445833333299,1053.9034375,1140.759589947085,1175.657916666665,1155.16196296296,1163.412117647055,1257.94624999999,1277.70852910517,1354.8808183591,1350.03644230769,1303.5956785714202
IMO,Bread sliced 500g,219.10256410256352,226.1403508771925,202.9047619047615,228.82211538461502,207.333333333333,254.5454545454545,293.660287081339,230.75,301.242980112989,288.7844702564895,283.95833333333303,275.267857142857
IMO,Bread unsliced 500g,158.571428571428,182.333333333333,164.1875,188.2692307692305,204.9350649350645,240.7142857142855,300,222.142857142857,267.4986681424355,256.87860471123554,265.420289855072,232.333333333333
IMO,Broken Rice (Ofada),270.56,270.70691408,270.85390793434544,360,360.19548,360.39106614563997,360.58675849455705,322.22,270.050818887075,245,245.13303499999998,245.26614223800496
IMO,Chicken Feet,700.25,746.67,747.0754418099999,747.4811037749027,747.8869860142524,748.2930886476581,748.6994117947937,749.1059555753983,699.3877258002906,908.307924202216,908.8011354050577,909.2946144215827
IMO,Chicken Wings,708.33,800,875,875,850,825.755,714.29,732.54,819.4940883593945,1097.57121101361,1050,1100
IMO,Evaporated tinned milk carnation 170g,110,123.75,115,127.5,106.666666666666,122.5,110,127.5,140.00629987390852,148.297,150,140
IMO,"Evaporated tinned milk(peak), 170g",137.66666666666652,136.907894736842,140.72984749455298,143.16666666666652,143.75420875420798,144.8148148148145,144.46969696969649,145.97916666666652,150.235963744118,162.477333097772,150.0896551724135,151.1839080459765
IMO,Frozen chicken,1081.249999999995,1165.8333333333298,1181.6666666666652,1150,1113.392857142855,1208.3333333333298,1234.1666666666652,1256.249999999995,1393.6930087301848,1402.62593733157,1379.6875,1380.555555555555
IMO,"Gari white,sold loose",128.8745,131.1404310344825,121.92070043103399,153.0534374999995,205.33407467532402,206.37327083333298,190.10066844919749,195.77125,187.6606898466415,200.234491313616,239.4033333333325,236.00460591132952
IMO,"Gari yellow,sold loose",134.422803921568,137.326333333333,139.328020833333,164.57249999999948,220.677666666666,227.60412745098,214.38669047618998,214.309578431372, ,222.90709569989798,249.251590038314,258.7032820512815
IMO,Mudfish (aro) fresh,1126.97,1127.58194471,1128.1942217059775,1128.8068311683637,1129.4197732776881,1130.0330482145778,1130.6466561597583,1131.260597294053,1241.85377077917,1245.45322724438,1246.1295083467737,1246.806156669806
IMO,Mudfish : dried,1600,1444.44,1785.71,2066.65,1666.67,2039.47799999999,2070.17333333333,1857.145,1879.1832837578,1809.94995889503,2200,2583.335
IMO,Onion bulb,185.756180371352,188.674860426929,150.76166666666649,169.958047619047,146.443666666666,174.39671264367752,178.6863333333325,183.537474358974,238.00889591113702,267.391744348869,255.811208333333,248.8247222222215
IMO,Rice agric sold loose,221.24900000000002,223.21309523809498,283.335,284.8174999999995,335.187083333333,396.824047619047,340.445,409.4739285714285,352.47923492678547,385.477346294999,424.1406428571425,466.05225
IMO,Rice local sold loose,186.2854848484845,179.687788235294,226.2954666666665,231.9473148148145,266.317523148148,301.18538793103403,302.6099808429115,327.113,330.306775609225,373.276383806844,375.3468875,373.905128205128
IMO,Rice Medium Grained,228.795833333333,214.999375,282.96416666666653,281.11749999999995,327.776875,380.555,343.70333333333303,395,339.92412312011004,365.989049006183,422.22,437.03333333333296
IMO,"Rice,imported high quality sold loose",246.38973214285699,245.4551810344825,311.9288026819915,319.4688362068965,382.2912382445135,437.66043650793597,402.7761038961035,438.5153333333325,396.096785758289,451.83201507609704,463.6239148351645,523.5902857142855
IMO,Tomato,230.4292857142855,233.395952380952,198.06795098039152,257.0879166666665,974.333741258738,934.3278246753225,616.4212539682535,262.4531666666665,284.775008390084,288.93789094864496,319.396458333333,216.22310344827548
IMO,Yam tuber,116.4287499999995,122.0598928571425,128.79147321428502,140.5822916666665,176.56836206896548,184.97750000000002,217.2289444444435,180.303041666666,207.146301761895,220.26603893452102,227.5246206896545,190.8069166666665
AKWA IBOM,Agric eggs medium size,354.375,332.103174603174,344.25,333.428571428571,332.3863636363635,396.428571428571,327,362.7142857142855,372.1875,461.0551758655315,493.75,456.142857142857
AKWA IBOM,Agric eggs(medium size price of one),28.75,28.80952380952375,30.539772727272698,30.25,30.45454545454545,31.78571428571425,31.9285714285714,32.4285714285714,36.25,42.9996197896478,40,40
AKWA IBOM,"Beans brown,sold loose",260.301875,242.19937499999997,284.013095238095,277.3215079365075,302.2221666666665,338.55785714285696,352.778,355.15885714285696,375.3825,422.880357142857,425.74,430.85
AKWA IBOM,Beans:white black eye. sold loose,205.10475,210.3697619047615,238.691214285714,235.1714285714285,258.90166666666653,293.651428571428,298.9684285714285,305.397,354.1371527777775,359.8055714285705,402.36099999999954,405.36
AKWA IBOM,Beef Bone in,831.545625,752.0963392857141,905.580714285714,689.1414285714285,797.503958333333,796.51125,848.599,838.09475,679.282428571428,1011.7591128764215,678.765,741.6485
AKWA IBOM,"Beef,boneless",1204.097875,1158.07198412698,999.5907500000001,923.9200793650771,1060.475499999995,957.142857142855,1012.052875,896.2359999999994,986.375,1178.2218751149,1044.66475,1128.80833333333
AKWA IBOM,Bread sliced 500g,227.8571428571425,262.5,290.8571428571425,294.8214285714285,281.6666666666665,309.642857142857,330,320,298.412698412698,327.23203019657103,332.5,346.428571428571
AKWA IBOM,Bread unsliced 500g,200,281.25,284.428571428571,246.9642857142855,245.555555555555,296.428571428571,312.5,273.142857142857,316.9642857142855,286.654287678571,308.33333333333303,309.54
AKWA IBOM,Broken Rice (Ofada),275.66,276.01835800000003,276.3771818654001,260,280,280.36400000000003,320,280,320.45,380,370,360
AKWA IBOM,Chicken Feet,846.296111111111,910.048333333333,812.5,1022.142857142855,1013.3335,1000,1007.142857142857,1087.619285714285,1156.25,1135.922119801485,907.917,1178.0955714285699
AKWA IBOM,Chicken Wings,1071.560555555552,1024.711071428571,841.666875,950.7780158730155,1044.04716666666,1000,1027.61857142857,1098.095571428565,1029.934999999995,874.964733109697,806.944,1087.30114285714
AKWA IBOM,Evaporated tinned milk carnation 170g,120,120.156,120.31220280000001,120.46860866364001,120.62521785490276,120.78203063811414,120.9390472779437,120,150,112.042260799485,150,151.88
AKWA IBOM,"Evaporated tinned milk(peak), 170g",137.125,135.2777777777775,138.944444444444,139.74025974025898,142.196969696969,141.428571428571,144.428571428571,144.428571428571,148.75,164.88115645828748,151.25,155
AKWA IBOM,Frozen chicken,1250,1250.45,1200,1333.33333333333,1325,1200,1500,1500,1575,1463.18743418133,1200,2000
AKWA IBOM,"Gari white,sold loose",122.65404761904699,113.6942857142855,140.55444444444402,144.119464285714,201.53583333333302,220.2,212.1889999999995,194.2525,237.5115178571425,192.6251805099995,208.77958333333248,215.32
AKWA IBOM,"Gari yellow,sold loose",112.49999999999949,106.3315873015865,151.9746666666665,140.0208730158725,193.43484848484798,189.483571428571,199.88085714285648,191.7465714285705, ,187.346327502851,186.45999999999998,191.469428571428
